[83.48011937694515, 83.48002929490274, 83.48026311852645, 83.48010918231374, 83.48000584685018, 83.48005340287267, 83.48026049660898, 83.48017851358154, 83.48004980059963, 83.4800887884042, 83.48001584847596, 83.48029199482575, 83.48062826920436, 83.48000342591055, 83.48005148619488, 83.48005850714249, 83.48082810029177, 83.48004803993473, 83.48002596416835, 83.48026782797211, 83.48241089179432, 83.48002922932515, 83.48026630849931, 83.48016393870033, 83.48044566066413, 83.48010787732207, 83.4800275223776, 83.48004648727638, 83.48021364538576, 83.48027295272419, 83.48137859097776, 83.48024562781322, 83.48049822921857, 83.48003147658733, 83.48014114599593, 83.48012214057141, 83.48003438208649, 83.48004406343533, 83.48014323984981, 83.48027207118027, 83.48013850286699, 83.48003131624405, 83.48008065484194, 83.480454801002, 83.48082265859789, 83.48009500896929, 83.4804915802766, 83.48041687215174, 83.48051414466944, 83.48013943706324];10;6;{'far_enough': 6.026507087394058, 'generations': 8, 'level_limit': 10, 'meataepoch2': 7, 'mutation1': 0.27803625042131397, 'mutation2': 0.116798451732743, 'pop1': 23, 'pop2': 35, 'sample_dev2': 1.7308607730849153}
[83.48013249656694, 85.56728237268587, 83.48009780460976, 83.48000099819137, 83.48011522970131, 83.48048060595373, 83.48000699130485, 83.48051353106364, 83.48002555498799, 83.48002851253824, 83.48006779490625, 83.48025424915298, 83.4800171475061, 83.4802410678998, 83.48011829154211, 83.48033256222774, 83.48005289966665, 83.48000170328275, 83.48008452328453, 83.48013292996654, 83.48004332949971, 83.48003047232771, 83.48018146888793, 83.48026254425348, 83.4800665539256, 83.48026120944863, 83.48018021852828, 83.48016055891287, 83.48124087168652, 83.48003258474536, 83.48252310975717, 83.48025507163412, 83.48010686999264, 83.48000757700974, 83.48026519847855, 83.48001254590423, 83.48026856554867, 83.4800951908134, 83.48025394936224, 83.48006388303486, 83.48137891232301, 83.4800301620571, 83.48044129302565, 83.48004995062821, 83.4805008667079, 83.48047645115287, 83.48005925262932, 83.4800594868661, 83.48012518510426, 83.48002732528106];10;6;{'far_enough': 6.129367292723683, 'generations': 8, 'level_limit': 9, 'meataepoch2': 6, 'mutation1': 0.2585768263752229, 'mutation2': 0.11235076813000233, 'pop1': 28, 'pop2': 20, 'sample_dev2': 0.8369068758530009}
[83.48000692410639, 83.48002719879626, 83.4802625301015, 83.48005116161218, 83.48006772710904, 83.48021081603709, 83.48013610154702, 83.48045353000579, 83.48027774967277, 83.87497614782339, 83.48027071453308, 83.4802719200259, 83.48001600515451, 83.48026503057439, 83.48004783854932, 83.48005977460535, 83.48022621613896, 83.48006768429181, 83.4801463191632, 83.48001583993607, 83.48005448058454, 83.48030287589367, 83.48004334082243, 83.48001580650222, 83.48021715057467, 83.48014226218203, 83.48003024084284, 83.48023218434876, 83.48003913697332, 83.48001439026962, 83.48003074819634, 83.48026992085452, 83.4801466570632, 83.4802634107856, 83.48045699133783, 83.48000158098702, 83.48002457973897, 83.48005284708685, 83.48004338389534, 83.48053977364907, 83.48002919806262, 83.48006626222421, 83.48008822791199, 83.48027450324626, 83.48117761509315, 83.48008759841925, 83.48045290691462, 83.48001597817537, 83.48027738534743, 83.48234716464123];10;6;{'far_enough': 2.141935356930806, 'generations': 9, 'level_limit': 6, 'meataepoch2': 5, 'mutation1': 0.250498543078579, 'mutation2': 0.04453075661305397, 'pop1': 20, 'pop2': 21, 'sample_dev2': 0.17633315129247995}
[-78.98946918437595, -78.98985391621527, -78.98999619765294, -78.9899819101366, -78.98995744100718, -78.98997018392798, -78.98991640285597, -78.98994717972262, -78.98992323879853, -78.98964264504924, -78.98999704016168, -78.98998247041412, -78.9899612357351, -78.98989823998367, -78.98999813736872, -78.98990184660757, -78.98997160643772, -78.98990482758802, -78.98999806803114, -78.98998402190479, -78.98995741112934, -78.98998624535278, -78.98999741943875, -78.98999084182832, -78.98999268937064, -78.98998126484942, -78.98999323824088, -78.98996331916845, -78.98998999431507, -78.98753019395097, -78.98999230453734, -78.9899959208359, -78.98991388611648, -78.9899905929565, -78.98994863227104, -78.98999739944371, -78.9899906118159, -78.98998393625828, -78.98995050033218, -78.98998765498155, -78.98998937931651, -78.98996406488571, -78.98999795156581, -78.98986062624772, -78.98990730536578, -78.98998173197057, -78.98998709554967, -78.98999071953044, -78.98998907941757, -78.98999945856782];10;10;{'far_enough': 8.54141663865792, 'generations': 2, 'level_limit': 6, 'meataepoch2': 6, 'mutation1': 0.8182299339469884, 'mutation2': 0.9919671881399135, 'pop1': 22, 'pop2': 22, 'sample_dev2': 2.483660272259072}
[-78.98984028861307, -78.9899790924302, -78.98983263746207, -78.9899150316027, -78.98994800590512, -78.98999126983351, -78.98995569883414, -78.98999837206485, -78.98959853624652, -78.98996082790369, -78.98980940812979, -78.9895972659883, -78.98997608815208, -78.98999606510914, -78.98982342169685, -78.9899989140041, -78.98997312000333, -78.98999153772061, -78.97912124223356, -78.98996618299118, -78.98984111035445, -78.9899747821414, -78.98996651152841, -78.98991217593388, -78.98999515211644, -78.98998740393672, -78.98955881781049, -78.98996513736957, -78.9889891947986, -78.98994933077981, -78.98980700162144, -78.98981351061634, -78.98999037360866, -78.98999383762951, -78.98996344781011, -78.98999290055401, -78.98991564992963, -78.98998667208001, -78.98998841122831, -78.98969793066438, -78.98998427202878, -78.98999790596064, -78.98990025931458, -78.98992165474944, -78.98925322210262, -78.98986103923056, -78.98994673889284, -78.9899587617779, -78.98993540005542, -78.98999212990266];10;10;{'far_enough': 12.414017247318535, 'generations': 2, 'level_limit': 3, 'meataepoch2': 5, 'mutation1': 0.5229420351707981, 'mutation2': 0.32047907282330185, 'pop1': 110, 'pop2': 91, 'sample_dev2': 1.157208965315637}
[-92.6499999999998, -92.6499999999998, -92.64999999999975, -92.64999999999971, -92.64999999999975, -92.64999999999971, -92.64999999999966, -92.64999999999974, -92.64999999999974, -92.6499999999997, -92.6499999999997, -92.64999999999978, -92.64999999999968, -92.64999999999958, -92.64999999999965, -92.6499999999996, -92.64999999999982, -92.64999999999965, -92.64999999999964, -92.64999999999979, -92.64999999999965, -92.6499999999997, -92.64999999999971, -92.64999999999964, -92.64999999999968, -92.64999999999974, -92.6499999999996, -92.64999999999979, -92.64999999999979, -92.64999999999962, -92.64999999999954, -92.64999999999966, -92.64999999999962, -92.64999999999964, -92.64999999999958, -92.6499999999997, -92.64999999999968, -92.64999999999985, -92.64999999999962, -92.64999999999971, -92.64999999999962, -92.64999999999971, -92.6499999999999, -92.6499999999998, -92.64999999999947, -92.64999999999975, -92.64999999999972, -92.64999999999974, -92.64999999999984, -92.64999999999964];10;1;{'far_enough': 17.905459767032657, 'generations': 3, 'level_limit': 7, 'meataepoch2': 7, 'mutation1': 0.5521111646080996, 'mutation2': 0.24425345340793644, 'pop1': 20, 'pop2': 21, 'sample_dev2': 0.8048499744457526}
[-92.64999999999999, -92.64999999999999, -92.64999999999999, -92.64999999999995, -92.64999999999998, -92.64999999999999, -92.64999999999995, -92.64999999999998, -92.64999999999998, -92.64999999999999, -92.64999999999999, -92.64999999999999, -92.64999999999999, -92.64999999999995, -92.64999999999998, -92.64999999999998, -92.64999999999995, -92.64999999999996, -92.64999999999999, -92.64999999999996, -92.64999999999999, -92.64999999999998, -92.64999999999998, -92.64999999999998, -92.64999999999999, -92.64999999999999, -92.64999999999999, -92.64999999999999, -92.64999999999998, -92.65, -92.64999999999999, -92.6499999999999, -92.64999999999999, -92.64999999999999, -92.65, -92.64999999999999, -92.64999999999999, -92.64999999999996, -92.64999999999998, -92.64999999999996, -92.64999999999999, -92.64999999999999, -92.64999999999999, -92.64999999999999, -92.64999999999998, -92.64999999999999, -92.64999999999999, -92.64999999999999, -92.65, -92.64999999999999];10;1;{'far_enough': 13.670253780296683, 'generations': 3, 'level_limit': 5, 'meataepoch2': 291, 'mutation1': 1.3114698996715157, 'pop1': 20, 'sigma2': 1.389090542699558}
[-92.64999999999972, -92.64999999999986, -92.64999999999922, -92.64999999999927, -92.64999999999968, -92.64999999999966, -92.6499999999997, -92.64999999999947, -92.64999999999917, -92.64999999999972, -92.6499999999996, -92.64999999999971, -92.64999999999957, -92.64999999999917, -92.64999999999914, -92.64999999999836, -92.64999999999966, -92.64999999999979, -92.64999999999847, -92.64999999999972, -92.64999999999964, -92.64999999999972, -92.64999999999893, -92.6499999999995, -92.6499999999993, -92.64999999999866, -92.6499999999989, -92.64999999999955, -92.64999999999947, -92.64999999999928, -92.64999999999928, -92.64999999999928, -92.64999999999965, -92.64999999999932, -92.64999999999974, -92.6499999999997, -92.64999999999965, -92.64999999999938, -92.64999999999934, -92.64999999999966, -92.6499999999997, -92.64999999999982, -92.64999999999901, -92.64999999999954, -92.64999999999911, -92.64999999999978, -92.64999999999958, -92.64999999999958, -92.64999999999985, -92.64999999999976];10;1;{'far_enough': 11.030024722068147, 'generations': 2, 'level_limit': 2, 'meataepoch2': 31, 'mutation1': 1.9662472270905251, 'mutation2': 0.20594530778522674, 'pop1': 29, 'pop2': 39, 'sample_dev2': 0.5459395850590484}
[-92.64999999999947, -92.64999999999964, -92.6499999999995, -92.64999999999944, -92.64999999999954, -92.64999999999925, -92.64999999999954, -92.64999999999878, -92.64999999999884, -92.64999999999903, -92.64999999999964, -92.64999999999965, -92.64999999999883, -92.64999999999914, -92.64999999999834, -92.64999999999954, -92.64999999999941, -92.64999999999867, -92.6499999999991, -92.64999999999975, -92.64999999999964, -92.64999999999927, -92.64999999999938, -92.64999999999957, -92.64999999999944, -92.64999999999941, -92.64999999999955, -92.64999999999935, -92.64999999999941, -92.64999999999942, -92.6499999999983, -92.64999999999927, -92.64999999999952, -92.64999999999925, -92.64999999999883, -92.6499999999987, -92.64999999999924, -92.64999999999954, -92.64999999999826, -92.64999999999736, -92.64999999999918, -92.64999999999942, -92.64999999999952, -92.64999999999831, -92.64999999999951, -92.64999999999827, -92.64999999999947, -92.64999999999944, -92.64999999999806, -92.64999999999932];10;1;{'far_enough': 12.058203675425297, 'generations': 5, 'level_limit': 3, 'meataepoch2': 5, 'mutation1': 1.4943681524108274, 'mutation2': 0.5983122681440702, 'pop1': 90, 'pop2': 174, 'sample_dev2': 1.123754611859122}
[-92.64999999999998, -92.64999999999999, -92.65, -92.65, -92.64999999999999, -92.64999999999999, -92.64999999999999, -92.64999999999999, -92.64999999999999, -92.64999999999996, -92.64999999999999, -92.64999999999999, -92.64999999999995, -92.64999999999998, -92.64999999999999, -92.64999999999989, -92.65, -92.64999999999996, -92.64999999999999, -92.64999999999999, -92.64999999999999, -92.64999999999999, -92.64999999999999, -92.65, -92.65, -92.64999999999998, -92.64999999999999, -92.65, -92.64999999999999, -92.64999999999999, -92.64999999999999, -92.64999999999999, -92.65, -92.64999999999999, -92.64999999999999, -92.64999999999999, -92.65, -92.64999999999999, -92.64999999999999, -92.65, -92.64999999999999, -92.64999999999996, -92.64999999999999, -92.65, -92.64999999999999, -92.64999999999993, -92.64999999999999, -92.64999999999998, -92.65, -92.64999999999999];10;1;{'far_enough': 14.114847552477732, 'generations': 9, 'level_limit': 9, 'meataepoch2': 170, 'mutation1': 1.2499996580240516, 'pop1': 22, 'sigma2': 2.647354628612308}
