[83.48007852025053, 83.4800431570807, 83.48004661495655, 83.48001269397507, 83.48027550741132, 83.48090072144328, 83.48012210232233, 83.48034467518401, 83.4801450060984, 83.48007819933412, 83.48002762027821, 83.4800003235709, 83.48004084445107, 83.48000059225325, 83.48002621508586, 83.48007028801621, 83.48028669947558, 89.57887307315374, 83.48002806709773, 83.48005261026023, 83.48023567692952, 83.48322292811982, 83.48011361380011, 83.48026937255378, 95.51905398117874, 83.48004628051503, 83.48001844888375, 83.48000990303737, 83.48035265025469, 83.48027012389075, 83.48061325901872, 83.48052095297226, 83.48049541152237, 83.48254823782061, 83.48007141430735, 83.4802444546826, 112.6513330692766, 83.4837430608147, 83.48004939579566, 83.48001396275808, 83.48005699161726, 83.480054985823, 83.4800167264326, 83.4800266617916, 83.48005808366415, 83.48012573235502, 83.48004296067296, 83.48027213905583, 83.48245184510631, 83.4800930072564];10;6;{'far_enough': 12.451667130773796, 'generations1': 10, 'generations2': 3, 'level_limit': 8, 'meataepoch2': 5, 'mutation1': 0.28374888883142574, 'mutation2': 0.051325919221924185, 'pop1': 27, 'pop2': 20, 'sample_dev2': 0.10338221984123588}
[83.48008781343609, 83.48004696532765, 107.46506161484854, 83.48461431338171, 83.4801239805129, 83.48249639370637, 83.48002590985142, 83.48001600887363, 83.48009258559973, 83.480080459983, 83.48000898085931, 83.59239006190555, 83.4801911841586, 83.48025384775852, 83.48084847353121, 83.48067724394073, 98.04036370262561, 83.48026269682073, 83.48002207735735, 83.4802644850793, 83.4801811252935, 83.48009424267684, 83.48000320158899, 83.48025960265078, 83.48014364308179, 83.48456990891488, 83.48005432994164, 83.48003955036145, 83.48007751092942, 83.48008591164793, 83.48045756576337, 83.48026551866789, 83.48002277788979, 83.48000296312168, 83.48003050937268, 83.4802623616498, 91.83162267253114, 83.48003548239217, 83.48027092661032, 83.58692758527268, 83.48012663343047, 83.48003122885278, 83.48003192575098, 83.48001852018025, 83.48000173015704, 83.48014269596575, 83.48138819599654, 83.48105908768854, 83.48002880163506, 83.48024707761948];10;6;{'far_enough': 8.289165729596197, 'generations1': 2, 'generations2': 7, 'level_limit': 6, 'meataepoch2': 7, 'mutation1': 0.44058646559695525, 'mutation2': 0.1850106315623408, 'pop1': 30, 'pop2': 24, 'sample_dev2': 0.572352331229921}
[-78.98999333149573, -78.98985872862295, -78.98993061850662, -78.98999450873295, -78.9898167379954, -78.98970033026202, -78.98998810285374, -78.98973738689682, 37323.758640409585, -78.98990895823067, -78.98995617490989, -78.98970303477518, -78.98997010075722, -78.98975515735798, -78.98985273685929, 95260.37541922134, -78.98999601908749, -78.9890060563557, -78.98999331080705, 73812.55760359939, -78.98996935310973, -78.98997037748792, -78.98598885250242, -78.98999729628548, -78.98991010388053, -78.98988570312153, -78.98901289527595, -78.98998755700248, 90560.06485907642, -78.98997959743916, 22237.848781262743, -78.989688492866, -78.98983866594264, -78.98992983697707, -78.98973012565342, -78.98994903435212, -78.98998845729768, -78.98997471108095, -78.98994784683217, -78.98958380418394, -78.98999820394519, -78.98994251845342, 23063.883782603756, -78.98999645240687, -78.98997898654204, -78.98998225047677, -78.98992750560055, -78.98991041221457, -78.98996487458608, -78.98885475686616];10;10;{'far_enough': 16.61006673605796, 'generations1': 2, 'generations2': 2, 'level_limit': 5, 'meataepoch2': 5, 'mutation1': 1.558278929366021, 'mutation2': 0.021781546477551067, 'pop1': 35, 'pop2': 35, 'sample_dev2': 1.2983996776107471}
[-78.98993434385679, -78.98994847201715, -78.98991138129556, -78.98995458205961, -78.98999516741966, -78.98999081645202, -78.98999152869588, -78.98985052303195, -78.98997981032666, -78.98999109732836, -78.98999697997675, -78.98992930690544, -78.9899473327252, -78.98994982887822, -78.98996490421624, -78.98982196799786, -78.98998905877949, -78.98895678271668, 44871.59328924, 39827.554552015514, -78.9898254103352, -78.98932143048799, -78.98989940279502, -78.98995487424914, -78.98991620693057, 68706.7235919526, -78.989867598131, -78.98999505565007, -78.98904649807689, -78.98999936829415, -78.98968415145195, -78.98998808510191, -78.98959539182071, -78.98994270506515, 130.24666342513973, -78.98993463181566, -78.98984646965309, -78.9858999026723, -78.98999622828639, 88558.262559334, -78.98962279518251, -78.98968582143054, -78.98999302967736, -78.98951963605323, -78.98996572738464, -78.98940965012306, -78.98992721650691, -78.98984835538005, -78.989848669397, -78.98933516599992];10;10;{'far_enough': 9.992266205115975, 'generations1': 6, 'generations2': 2, 'level_limit': 8, 'meataepoch2': 6, 'mutation1': 1.2866293933090316, 'mutation2': 0.9060317060298922, 'pop1': 20, 'pop2': 20, 'sample_dev2': 0.4605131715389701}
[92.00257370632735, 83.48016096207945, 83.48002936029354, 83.48005459508286, 83.48026497824486, 83.48260121000256, 83.48236933019989, 83.48049576620099, 83.48002830248436, 83.48243773840792, 83.48011808301938, 83.48011249425866, 83.48014404008238, 83.48031343415666, 83.48000323204754, 83.48001583755592, 83.48249467468908, 83.48033022079724, 83.48001521297508, 83.48026491418064, 83.48460488690486, 83.48017495392769, 83.48001978824888, 83.48003072954533, 83.48000627390607, 83.48012485375614, 83.48048200117788, 83.48005803154416, 83.48013167291444, 83.48002929594504, 83.48001638864095, 83.48002963115178, 83.48003009474746, 83.48003050702623, 83.48051010773038, 83.48072711084515, 83.48026959175438, 83.92748519791873, 83.48009401217715, 83.48410025611709, 83.48049586165575, 83.48004590752893, 83.48015696824582, 83.48005432607312, 83.48027148455633, 83.48015271077806, 83.48001577536881, 83.48013343373944, 83.48246944107716, 83.48238495138239];10;6;{'far_enough': 8.855668678954347, 'generations1': 8, 'generations2': 6, 'level_limit': 3, 'meataepoch2': 6, 'mutation1': 0.27933955182829007, 'mutation2': 0.10359707863188465, 'pop1': 21, 'pop2': 24, 'sample_dev2': 2.8724442342339453}
[-78.98999762404358, -78.98998885319588, 56201.46892950846, -78.9731916560515, 97886.86401762365, -78.98995374757023, -78.98999399432824, 54557.80019073665, 29226.910262099074, -78.98984777807343, -78.98979306326737, -78.98999606282197, -78.98989746923041, -78.98939269254518, -78.98941154414607, -78.98884471294437, -78.98994827775934, -78.98999131728165, -78.98999836225423, -78.98988878730202, -78.98625390581299, -78.98695506886241, -78.9899846082133, -78.98889437522794, -78.98994373584614, -78.98601883231342, -78.98997218312454, -78.98932449848431, -78.98999554316818, -78.98980758127881, -78.98999170978557, -78.98997559120951, -78.98994021701299, 25652.64640213378, -78.98999674250888, -78.98905836583803, -78.98950176618514, -78.98984466698951, -78.97259696378813, -78.98933534687784, -78.98996972194061, -78.98995049622438, 30752.401273932803, 15533.211263335585, -78.98998749345195, -78.98996519137705, -78.9899639581778, -78.98977228348105, -78.98996191946632, -78.9898918566152];10;10;{'far_enough': 6.530648105495567, 'generations1': 3, 'generations2': 3, 'level_limit': 2, 'meataepoch2': 5, 'mutation1': 2.242270255760096, 'mutation2': 0.502373557922282, 'pop1': 34, 'pop2': 20, 'sample_dev2': 1.4153915451186825}
[83.48048266387775, 83.48005565536633, 83.48005090292948, 83.48192289721571, 83.4801407749608, 83.48000878571342, 83.4846242594476, 83.4804702114578, 83.48000961241931, 83.48001814533619, 83.48977354406514, 83.48001574056855, 83.48000301646024, 83.48046406764966, 83.48000251963882, 95.97263366935641, 83.48012474770537, 83.48005470592081, 83.48009117036065, 83.48006063461607, 92.6859727954014, 83.48008956028053, 83.48001219758534, 85.25882285616468, 83.48003142016765, 101.13836748301028, 95.27403899514749, 83.48001572227456, 83.48013846063684, 83.48004771092545, 83.48108900776086, 83.48044096135503, 83.48013792606656, 83.4800209843722, 83.48000307687455, 83.48050650800137, 83.48041409061535, 152.7178344439419, 83.48122067867482, 83.48018192157261, 83.48015582267381, 83.4800583459447, 83.4845884539383, 83.4801434014361, 83.48002652436837, 83.48046956784472, 83.48007667573204, 83.4821315744419, 83.48006801688554, 83.48019587510433];10;6;{'far_enough': 9.579784570705895, 'generations1': 5, 'generations2': 9, 'level_limit': 6, 'meataepoch2': 6, 'mutation1': 0.26476612503171926, 'mutation2': 0.08807881675236418, 'pop1': 36, 'pop2': 23, 'sample_dev2': 2.7115403970479797}
[9794.972500592841, 9032.475027128661, 2722.1835864125724, 19301.318321447383, -78.98902137668043, -78.98996478611501, -78.98994590035211, 18721.30995853079, 9523.0721163286, 7899.712253040392, -78.989989330297, -78.98985160271319, 4394.35313028441, -78.98999576204054, -78.98969656015642, -78.98992008563125, -78.98984537629701, 15857.334784268953, -78.98596891029949, 15496.351462719995, -78.98985743411055, 6192.97003531981, 7867.705956422492, 14304.360742320738, 7612.648057794451, 11552.00952963405, 14252.599435015742, 7371.840381570949, 30038.39980980482, 10997.081049328857, -78.98968862452226, 7989.451390708277, 13587.086884996646, -78.98998172315848, 29035.260532370703, 12733.038631748175, -78.98942159046732, -78.9899439167227, 15143.53977744177, 15886.452384841905, -78.98969845781173, -78.9899901001368, 14123.073935808414, -78.9899421240733, -78.98992130550624, -78.98958888691583, 33809.225387272796, 6979.288945886627, -78.98964908078626, -78.98995996920777];10;10;{'far_enough': 14.492610755016138, 'generations1': 3, 'generations2': 10, 'level_limit': 2, 'meataepoch2': 5, 'mutation1': 1.571626305571631, 'mutation2': 0.46502668831438126, 'pop1': 39, 'pop2': 35, 'sample_dev2': 0.6720262503118862}
[83.48047899203627, 83.4802772254242, 86.79764683388652, 83.48002927861239, 83.48024153043175, 83.48013683431782, 83.48049980890697, 83.48026289333963, 83.48009377397491, 86.67351960610482, 83.48005161375751, 83.48002936165503, 83.48001593585965, 87.47493354055993, 83.48050540788887, 85.99895298670715, 87.41111489702696, 90.14532783909559, 86.18150569244445, 83.48053685278919, 83.4806880120677, 86.2263971833092, 83.48047778928603, 85.7191637919504, 83.48184276434175, 83.48001557894248, 87.20206226749656, 83.48048312257052, 83.48022870557958, 83.48025659006018, 83.86377520696476, 83.48001643505593, 83.48081229535883, 87.27055992119256, 83.48001476403363, 83.48438849445414, 83.48006440725086, 88.9417882006239, 83.69304456733106, 83.48016405710499, 83.48042177043986, 86.95520872986953, 90.32215742281075, 83.48026958724654, 88.96587239549825, 86.29428854945239, 86.02009939355311, 83.48026316831152, 86.92629795347905, 85.71915789184598];10;6;{'far_enough': 19.101124574162373, 'generations1': 3, 'generations2': 5, 'level_limit': 2, 'meataepoch2': 30, 'mutation1': 2.5298754904666496, 'mutation2': 0.19156921641096847, 'pop1': 24, 'pop2': 20, 'sample_dev2': 1.789736987843811}
[-92.6499999999997, -92.64999999999964, -92.64999999999958, -92.64999999999965, -92.64999999999979, -92.64999999999962, -92.64999999999965, -92.6499999999998, -92.64999999999976, -92.64999999999935, -92.6499999999997, -92.64999999999988, -92.64999999999984, -92.64999999999984, -92.64999999999979, -92.6499999999998, -92.64999999999968, -92.64999999999971, -92.64999999999971, -92.64999999999989, -92.64999999999964, -92.64999999999957, -92.64999999999965, -92.64999999999965, -92.64999999999972, -92.64999999999965, -92.64999999999932, -92.64999999999972, -92.64999999999965, -92.64999999999978, -92.6499999999997, -92.64999999999974, -92.64999999999985, -92.64999999999965, -92.64999999999978, -92.64999999999978, -92.64999999999975, -92.64999999999966, -92.6499999999995, -92.64999999999955, -92.64999999999971, -92.64999999999985, -92.64999999999975, -92.64999999999966, -92.6499999999997, -92.64999999999988, -92.64999999999966, -92.64999999999972, -92.64999999999984, -92.64999999999965];10;1;{'far_enough': 17.21871971009619, 'generations1': 4, 'generations2': 4, 'level_limit': 2, 'meataepoch2': 5, 'mutation1': 0.8176757626183768, 'mutation2': 0.18439542212098753, 'pop1': 31, 'pop2': 23, 'sample_dev2': 0.7086079303461836}
